x1,v1,a1
0.0085725365,-0.0050646607,-0.0845457
0.008911315,-0.0016231363,-0.08873374
0.009119875,0.0005075575,-0.09118561
0.009139204,-0.0019290636,-0.09121664
0.009158006,-0.0040419213,-0.09137474
0.009215264,-0.0038930983,-0.09200642
0.009244525,-0.0033886458,-0.09228836
0.00915457,-0.0038451438,-0.0913598
0.009084272,-0.0055504376,-0.09057969
0.00905261,-0.006439716,-0.090284824
0.008970863,-0.0077803503,-0.08946796
0.008930807,-0.0083351,-0.08920654
0.008823739,-0.009350243,-0.08825775
0.008728023,-0.010116884,-0.08736324
0.008666206,-0.010626638,-0.086732864
0.008575267,-0.011316119,-0.08582892
0.008448383,-0.012482128,-0.084589265
0.008339053,-0.013338722,-0.08356675
0.008251425,-0.013960518,-0.08275214
0.008119377,-0.014795625,-0.08142793
0.007924696,-0.01571945,-0.079429835
0.007588512,-0.016899178,-0.075974636
0.0074578207,-0.017521169,-0.074717455
0.0073567107,-0.0179989,-0.07376489
0.007218187,-0.018656826,-0.072390616
0.0070980056,-0.019070435,-0.07120081
0.0069053406,-0.01984306,-0.06923108
0.0067170667,-0.020558272,-0.06733766
0.00652197,-0.021207089,-0.06539499
0.006191249,-0.022012994,-0.062057193
0.005948062,-0.022632228,-0.05965001
0.0056662937,-0.023223132,-0.05684083
0.0053466423,-0.023850763,-0.053640433
0.004994799,-0.024439035,-0.050132394
0.004765962,-0.02487567,-0.047863036
0.004433374,-0.025456538,-0.044496026
0.004223378,-0.02585107,-0.042389076
0.0040091393,-0.026168134,-0.04021122
0.003720188,-0.026627269,-0.037252314
0.0034001232,-0.026884377,-0.034020707
0.0031877956,-0.02717575,-0.031851847
0.0029614335,-0.027485553,-0.029538287
0.0027028075,-0.027768387,-0.026912795
0.0023482973,-0.028048646,-0.02335206
0.0020808754,-0.02822234,-0.020663273
0.0018000518,-0.028429369,-0.017825408
0.0015450668,-0.028579244,-0.015261735
0.0012428623,-0.028726736,-0.012229316
0.0010432457,-0.028710734,-0.010249372
0.000763319,-0.028808074,-0.007433266
0.00040447022,-0.028886903,-0.0038652155
0.0001315439,-0.028866686,-0.0011648652
-0.00016074361,-0.028895801,0.0017430009
-0.0004091493,-0.028870655,0.0042104837
-0.0007277291,-0.02884198,0.007367663
-0.0009902802,-0.028750163,0.009966386
-0.0012983691,-0.02866542,0.013019037
-0.0016472136,-0.028426638,0.016470356
-0.0019529931,-0.02812155,0.01951765
-0.0023135822,-0.027817652,0.02312702
-0.0025844965,-0.027544452,0.025850898
-0.0028606886,-0.027289456,0.028613048
-0.0032039466,-0.02681802,0.032035273
-0.0034888051,-0.026424382,0.034902424
-0.0037747468,-0.026053492,0.03775744
-0.004090094,-0.025459096,0.0409105
-0.004280089,-0.025058301,0.04286923
-0.004575794,-0.024487158,0.045818705
-0.0048523145,-0.023933684,0.04860514
-0.0050317114,-0.023541333,0.050419
-0.0052869134,-0.02303843,0.052986026
