x1,v1,a1
0.008137054,0.009539237,-0.08136058
0.008407954,0.006307836,-0.0841267
0.008657532,0.0032521498,-0.086678214
0.008865075,0.00049483846,-0.08880428
0.009013085,-0.001871276,-0.09032627
0.009088974,-0.0037897301,-0.09111511
0.0090863835,-0.005242854,-0.09110449
0.00900582,-0.0062500495,-0.09029773
0.00885455,-0.0068623787,-0.08876676
0.008645689,-0.0071544047,-0.086643234
0.008396597,-0.007214672,-0.08410243
0.008126737,-0.007136369,-0.081341796
0.007855268,-0.007009449,-0.078556515
0.0075986683,-0.006914825,-0.075915545
0.007368751,-0.006920704,-0.07354134
0.007171363,-0.0070807566,-0.07149654
0.0070059695,-0.007433678,-0.069779575
0.0068661915,-0.008003566,-0.06832989
0.006741232,-0.00880055,-0.06704204
0.006617977,-0.009821318,-0.06578654
0.0064834463,-0.011049624,-0.064434215
0.006327134,-0.012457211,-0.06287949
0.006142804,-0.014005547,-0.0610582
0.0059294524,-0.015648432,-0.058957376
0.0056913686,-0.017335057,-0.056616064
0.0054373783,-0.019013016,-0.054118227
0.0051794695,-0.020630796,-0.05157954
0.0049310215,-0.022139765,-0.04913019
0.0047048624,-0.023495823,-0.0468959
0.0045113363,-0.024660992,-0.044978805
0.0043565896,-0.025605045,-0.0434404
0.0042413,-0.026307033,-0.042288654
0.0041600713,-0.026756594,-0.041471686
0.004101618,-0.02695498,-0.040879257
0.0040497477,-0.026915664,-0.04035222
0.003985053,-0.026664382,-0.039699152
0.0038871807,-0.026238265,-0.03871874
0.0037374191,-0.025683938,-0.03722547
0.0035212701,-0.0250546,-0.035075165
0.0032305964,-0.024406351,-0.032186367
0.002865,-0.02379408,-0.028554117
0.0024322236,-0.023267385,-0.024254113
0.001947545,-0.022866977,-0.019436888
0.0014322998,-0.022621978,-0.014313374
0.0009117796,-0.02254844,-0.009134205
0.00041278164,-0.022649052,-0.004165498
-3.8935075e-05,-0.022913737,0.00033639726
-0.00042109346,-0.02332082,0.004149237
-0.00071712,-0.023838522,0.007107094
-0.0009180312,-0.02442686,0.009119276
-0.001023785,-0.025039999,0.010183974
-0.0010438026,-0.02562896,0.010393659
-0.0009963812,-0.026144497,0.009929426
-0.0009069006,-0.02654006,0.009043307
-0.0008049923,-0.02677485,0.008030156
-0.0007210629,-0.026817065,0.007193029
-0.0006826854,-0.026647182,0.0068071405
-0.00071136653,-0.026260994,0.0070875483
-0.0008201379,-0.025671894,0.008165007
-0.0010122923,-0.02491193,0.0100732595
-0.0012814228,-0.024031302,0.012749315
-0.0016127076,-0.023095965,0.016046159
-0.0019851828,-0.02218315,0.019755336
-0.002374614,-0.021374734,0.023635516
-0.0027565458,-0.02074878,0.027442904
-0.0031091704,-0.020369971,0.030959852
-0.0034157378,-0.020280072,0.034018952
-0.0036662964,-0.020489963,0.03652048
-0.0038585798,-0.02097494,0.03844136
-0.0039979136,-0.021674624,0.039834365
-0.004096124,-0.02249788,0.04081731
-0.0041696,-0.023332277,0.041553784
-0.0042368188,-0.02405672,0.04222846
-0.0043157325,-0.02455556,0.043020934
-0.0044214097,-0.024732206,0.044082128
-0.0045642443,-0.024520513,0.045516234
-0.0047489316,-0.023892462,0.04737044
-0.004974335,-0.022861205,0.049633443
-0.0052341977,-0.02147902,0.052242573
-0.0055184984,-0.019830469,0.05509735
-0.005815108,-0.01802167,0.05807617
-0.0061114114,-0.01616713,0.061052736
-0.0063956715,-0.014375954,0.0639098
-0.006658029,-0.01273931,0.06654932
-0.006891133,-0.01132077,0.068898775
-0.007090402,-0.010150572,0.07091351
-0.0072539314,-0.009224294,0.07257565
-0.0073821126,-0.008505854,0.07388993
-0.0074770744,-0.007934391,0.07487778
-0.0075420514,-0.0074339625,0.075570814
-0.007580801,-0.0069245202,0.0760048
-0.0075972015,-0.0063323257,0.07621573
-0.0075951116,-0.005598362,0.0762385
-0.007578489,-0.0046839584,0.0761085
-0.0075516473,-0.0035735392,0.07586468
-0.0075194766,-0.0022746674,0.07555224
-0.007487457,-0.000815573,0.07522328
-0.0074613797,0.00075953134,0.07493442
-0.0074468027,0.002396773,0.07474156
-0.007448356,0.0040396983,0.07469302
-0.007469076,0.0056359945,0.074822746
-0.007509918,0.0071428153,0.07514519
-0.007569541,0.008530102,0.07565275
-0.0076444256,0.009781816,0.076316446
-0.0077293213,0.01089527,0.07708989
-0.007817971,0.011878836,0.07791607
-0.007903929,0.012748633,0.078735046
-0.007981248,0.013525026,0.07949055
-0.008044839,0.014229751,0.080133304
-0.008090442,0.014883991,0.08062076
-0.008114318,0.0155073125,0.08091401
-0.008112836,0.016117072,0.08097378
-0.008082177,0.016727826,0.08075788
-0.008018367,0.017350305,0.08022164
-0.0079176705,0.017989757,0.07932234
-0.0077773198,0.018643755,0.07802678
-0.0075964103,0.01930006,0.07632039
-0.007376691,0.019935267,0.074215405
-0.007122994,0.020515244,0.07175535
-0.0068431576,0.020997759,0.06901444
-0.0065474496,0.021337103,0.06609215
-0.0062476746,0.02148992,0.063104585
-0.0059561264,0.02142132,0.060174156
-0.0056844745,0.02111056,0.057418656
-0.0054426095,0.020555858,0.054939542
-0.0052374722,0.019777978,0.052810065
-0.005072003,0.018822005,0.051064316
-0.004944427,0.017756496,0.049689613
-0.004848121,0.01666946,0.048624665
-0.004772221,0.015660964,0.047765166
-0.0047029513,0.014833059,0.04697682
-0.0046254597,0.014278154,0.046113525
-0.004525816,0.014067447,0.045037407
-0.004392809,0.014240957,0.04363695
-0.0042193024,0.0148006715,0.041840862
-0.004003006,0.0157082,0.039626032
-0.0037465533,0.016887916,0.037018593
-0.003456907,0.018235683,0.034088116
-0.0031441846,0.019631952,0.030935925
-0.002820107,0.020957045,0.02767953
-0.0024962712,0.022106135,0.02443525
-0.002182475,0.023001654,0.021301271
-0.0018853344,0.023601579,0.018343706
-0.0016074545,0.023902556,0.015588165
-0.0013473261,0.02393766,0.0130186435
-0.0010999831,0.02376928,0.010584092
-0.0008583281,0.02347837,0.0082116835
-0.00061489106,0.023151837,0.0058245095
-0.00036366857,0.02287004,0.0033600559
-0.00010159584,0.022696136,0.0007850872
0.0001707288,0.02266846,-0.0018969064
0.00044923212,0.022796517,-0.004647325
0.00072730624,0.023060773,-0.0074015665
0.0009970737,0.023416093,-0.010081428
0.0012504968,0.023798354,-0.012606056
0.0014800633,0.02413324,-0.01489882
0.001679109,0.024345921,-0.016890718
0.0018420803,0.02437021,-0.018523293
0.0019650545,0.02415609,-0.01975421
0.0020466528,0.023674766,-0.020566754
0.002089181,0.02292098,-0.02098157
0.0020995992,0.02191256,-0.02106662
0.0020898692,0.020687737,-0.020940827
0.0020764295,0.019300703,-0.020768914
0.002078839,0.017815994,-0.020747805
0.002117841,0.01630212,-0.021087142
0.002213118,0.014824936,-0.0219866
0.0023809278,0.013441456,-0.023611944
0.0026318277,0.012194806,-0.026071904
0.002968793,0.011111134,-0.029399034
0.0033861308,0.010198962,-0.033538572
0.0038695259,0.009450986,-0.038348712
0.0043973434,0.008847765,-0.043613583
0.0049430383,0.0083623715,-0.04906739
0.00547828,0.007965036,-0.054425754
0.0059762467,0.0076270276,-0.059418906
0.0064145653,0.0073232427,-0.06382125
0.006777503,0.0070332387,-0.06747348
0.007057225,0.0067408336,-0.07029524
0.007254086,0.006432911,-0.07228818
0.0073760194,0.0060983454,-0.07352987
0.0074371654,0.005727729,-0.07416017
0.007455932,0.0053140195,-0.07436194
0.0074527254,0.004853779,-0.074338555
0.0074476004,0.004348495,-0.07429044
0.0074580344,0.0038055275,-0.074392796
0.0074970257,0.0032382712,-0.07477654
0.007571777,0.0026652915,-0.075514905
0.0076832008,0.0021085318,-0.07661819
0.007826324,0.0015909198,-0.07803759
0.00799149,0.0011337238,-0.07967695
0.008166062,0.0007539439,-0.08140978
0.008336311,0.0004620674,-0.083098195
0.0084891785,0.00026050585,-0.08461069
