time,x1_original,x1_drifted,x1_amplitude_scaled,x1_lowfreq,x2_original,x2_drifted,x2_amplitude_scaled,x2_lowfreq,v1_original,v1_drifted,v1_amplitude_scaled,v1_lowfreq,v2_original,v2_drifted,v2_amplitude_scaled,v2_lowfreq,a1_original,a1_drifted,a1_amplitude_scaled,a1_lowfreq,a2_original,a2_drifted,a2_amplitude_scaled,a2_lowfreq
0.0,0.01,0.01,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,-0.30000000000000004,-0.2,0.1,0.1,0.15000000000000002,0.1
0.01,0.009990006245940155,0.010000006245940154,0.014985009368910233,0.00999500645422143,4.996252498360448e-06,1.499625249836045e-05,7.494378747540673e-06,2.4964608316807706e-06,-0.001998750811969165,-0.001988750811969165,-0.0029981262179537478,-0.000998709155713926,0.0009992504996720896,0.0010092504996720897,0.0014988757495081346,0.0004992921663361542,-0.19975016239383303,-0.19974016239383302,-0.29962524359074955,-0.19987516447611858,0.09985009993441792,0.09986009993441791,0.14977514990162688,0.09992509993389749
0.02,0.009960049951292464,0.009980049951292463,0.014940074926938695,0.00999001290844286,1.9970029973771468e-05,3.997002997377147e-05,2.99550449606572e-05,4.992921663361541e-06,-0.003992508117569126,-0.003972508117569126,-0.0059887621763536885,-0.001997418311427852,0.001995504995410114,0.002015504995410114,0.002993257493115171,0.0009985843326723084,-0.19900129872615913,-0.19898129872615913,-0.2985019480892387,-0.19975032895223716,0.09940079921318698,0.09942079921318699,0.14910119881978046,0.09985019986779498
0.03,0.009910205953779802,0.009940205953779802,0.014865308930669702,0.009975058054910956,4.487643228857509e-05,7.487643228857509e-05,6.731464843286263e-05,1.2468167458590546e-05,-0.005976291384963319,-0.005946291384963319,-0.008964437077444978,-0.0029936357074635458,0.0029857754675506097,0.00301577546755061,0.004478663201325915,0.0014963814930453638,-0.19775535475267947,-0.19772535475267947,-0.2966330321290192,-0.19937647942366377,0.09865329521491217,0.09868329521491218,0.14797994282236826,0.09962589887452368
0.04,0.00984059876686763,0.00988059876686763,0.014760898150301443,0.00996008989301866,7.964075884645928e-05,0.00011964075884645929,0.00011946113826968893,1.9950064937137587e-05,-0.007945145997471273,-0.007905145997471273,-0.01191771899620691,-0.003989849774494993,0.003967089844026228,0.004007089844026228,0.005950634766039343,0.0019941766560824634,-0.19601556774891116,-0.19597556774891114,-0.29402335162336674,-0.19900229721104937,0.09760958008021153,0.09764958008021153,0.1464143701203173,0.09940139828081529
0.05,0.00975140225624799,0.009801402256247989,0.014627103384371985,0.00993521102586532,0.00012415870767586986,0.00017415870767586986,0.0001862380615138048,3.2381720460648606e-05,-0.009894156126456818,-0.009844156126456819,-0.014841234189685228,-0.004981093445820565,0.004936499921855889,0.004986499921855889,0.007404749882783833,0.0024889897806934613,-0.19378645804819794,-0.19373645804819795,-0.2906796870722969,-0.19838040331270843,0.09627243548572051,0.0963224354857205,0.14440865322858076,0.0990282930540467
0.06,0.009642839188101519,0.009702839188101518,0.014464258782152278,0.009910305641774827,0.00017829665341524334,0.00023829665341524334,0.000267444980122865,4.482661948394547e-05,-0.01181845750283729,-0.01175845750283729,-0.017727686254255935,-0.00597232381842853,0.005891089226018805,0.005951089226018805,0.008836633839028208,0.0029837949266063287,-0.1910738172278964,-0.1910138172278964,-0.2866107258418446,-0.19775784664062643,0.09464542534686274,0.09470542534686274,0.14196813802029412,0.09865479022290873
0.07,0.009515180650318157,0.009585180650318157,0.014272770975477234,0.009875564777093178,0.00024189200347081476,0.00031189200347081476,0.00036283800520622216,6.21774788055488e-05,-0.013713250053835238,-0.013643250053835237,-0.020569875080752857,-0.006956124697121445,0.0068279807850954765,0.006897980785095476,0.010241971177643215,0.0034741429222433094,-0.1878846929716932,-0.1878146929716932,-0.2818270394575398,-0.19688952075380411,0.09273288646847164,0.09280288646847164,0.13909932970270744,0.09813387298287615
0.08,0.00936874534818927,0.00944874534818927,0.014053118022283905,0.009840784386032728,0.0003147536314126755,0.0003947536314126755,0.0004721304471190132,7.954805397563825e-05,-0.015573810371942137,-0.015493810371942137,-0.023360715557913206,-0.007939895718504585,0.007744344803276664,0.007824344803276664,0.011616517204914996,0.00396447300568896,-0.18422737064968664,-0.18414737064968664,-0.27634105597452996,-0.1960202071809212,0.09053991716776594,0.09061991716776593,0.1358098757516489,0.09761236332057073
0.09,0.009203898776412017,0.009293898776412016,0.013805848164618025,0.009796268101089668,0.0003966623864721213,0.00048666238647212124,0.0005949935797081819,0.00010176617941467634,-0.017395503983508698,-0.017305503983508698,-0.026093255975263047,-0.008913804031577089,0.008637406208612492,0.008727406208612492,0.012956109312918738,0.004448886652707569,-0.18011135166362546,-0.18002135166362546,-0.2701670274954382,-0.1949077002276567,0.08807236389939956,0.08816236389939956,0.13210854584909934,0.0969450192167495
0.1,0.009021052269570003,0.009121052269570003,0.013531578404355005,0.009751699577950055,0.0004873716778036728,0.0005873716778036728,0.0007310575167055091,0.00012401031451310518,-0.019173797384894026,-0.019073797384894026,-0.02876069607734104,-0.009887659426026867,0.009504452057697808,0.009604452057697808,0.014256678086546713,0.004933268554929791,-0.17554732861344013,-0.17544732861344015,-0.2633209929201602,-0.193793888413867,0.08533680591766342,0.08543680591766342,0.12800520887649514,0.09627689263436881
0.11,0.008820661933571936,0.008930661933571936,0.013230992900357903,0.009697518786757958,0.0005866081319789906,0.0006966081319789906,0.000879912197968486,0.00015102917474451224,-0.020904269814719628,-0.02079426981471963,-0.03135640472207944,-0.010849251042933659,0.010342838777365762,0.010452838777365763,0.015514258166048643,0.005410294413155416,-0.17054715735168036,-0.17043715735168036,-0.25582073602752053,-0.1924400839877216,0.08234053801592714,0.08245053801592714,0.12351080702389071,0.0954648961201341
0.12,0.008603227460841023,0.008723227460841023,0.012904841191261535,0.009643273440374104,0.0006940723219877596,0.0008140723219877596,0.0010411084829816393,0.00017808010163228581,-0.02258262473146294,-0.022462624731462943,-0.03387393709719441,-0.011810760297331767,0.011149999224388031,0.011269999224388032,0.016724998836582048,0.005887270868802153,-0.16512382599698228,-0.16500382599698227,-0.24768573899547341,-0.1910846677911776,0.07909155138852673,0.07921155138852673,0.1186373270827901,0.09465193338741817
