x1,x2,v1,v2,a1,a2
0.004987623,-0.002345564,-0.009457289,0.0074371123,-0.12855065,0.073608465
0.006119163,-0.0028870334,-0.009525178,0.008150544,-0.15429677,0.09001641
0.006865205,-0.0030836635,-0.008638076,0.0086298175,-0.1694309,0.09929548
0.0068898723,-0.0030997456,-0.010605604,0.010043547,-0.16913888,0.09994402
0.00682491,-0.0029457896,-0.012438127,0.011299971,-0.16646217,0.09810162
0.006800993,-0.002779173,-0.014095229,0.012573575,-0.16480485,0.096221656
0.006637755,-0.002592568,-0.015259235,0.013649805,-0.15985161,0.09267329
0.006395611,-0.002416739,-0.015669707,0.014093395,-0.15302691,0.088461265
0.006221172,-0.0023003905,-0.017624948,0.015220771,-0.14805566,0.08542833
0.006074587,-0.002282229,-0.019216087,0.015943984,-0.1440976,0.083303615
0.0060543916,-0.0022385637,-0.020217432,0.016403796,-0.14219217,0.08208772
0.0059274584,-0.0020820547,-0.021373004,0.01713921,-0.13692589,0.07878256
0.005715597,-0.0018865007,-0.022757912,0.017992249,-0.1297259,0.07444523
0.005530323,-0.0016831211,-0.023890413,0.018737279,-0.123377874,0.07040898
0.005293304,-0.0014609719,-0.02490889,0.019433355,-0.11603802,0.06569834
0.005061048,-0.0012810287,-0.026005432,0.020047054,-0.10949891,0.061637633
0.0048698247,-0.0011022966,-0.026816487,0.02053572,-0.10399514,0.058066424
0.0047216355,-0.0009863757,-0.02723798,0.020714153,-0.100002654,0.055609256
0.0044601467,-0.00081197487,-0.027863612,0.0209264,-0.09331735,0.051568225
0.004143786,-0.00063770683,-0.028809033,0.021285603,-0.085922144,0.04701625
0.0037952808,-0.0004386781,-0.029551951,0.02159952,-0.0777431,0.04171328
0.00345947,-0.00023348167,-0.030239351,0.021922315,-0.06984983,0.03646994
0.0031066302,-2.0317217e-05,-0.031010652,0.022247026,-0.061351135,0.030985981
0.002747767,0.00019017697,-0.031755965,0.022593137,-0.05268884,0.025480332
0.0024152256,0.00038174534,-0.032382045,0.022836883,-0.044555217,0.020399475
0.0021149481,0.0005609178,-0.032795426,0.02293984,-0.0369957,0.015695738
0.001811804,0.0007729642,-0.032998398,0.022983417,-0.028854191,0.01053156
0.0015670168,0.0009586449,-0.033260196,0.02306576,-0.022120945,0.0062188096
0.0013375205,0.0011032574,-0.033528745,0.02308373,-0.015912779,0.002290635
0.0010284203,0.0012465672,-0.033608507,0.022933962,-0.007852683,-0.002647899
0.00068786164,0.0014163821,-0.03375324,0.02281949,0.0010171202,-0.008088566
0.0003517449,0.0015815501,-0.03350999,0.022476643,0.009666085,-0.013409885
1.1985947e-05,0.0017497315,-0.03344232,0.022238078,0.018216569,-0.018650016
-0.00036272552,0.0019545278,-0.033334818,0.0220455,0.027707506,-0.024560554
-0.0007158426,0.0021938656,-0.033067316,0.021853909,0.03696633,-0.030437259
-0.0010299884,0.0024208312,-0.03275871,0.021656498,0.04518288,-0.035616037
-0.0013202735,0.002590706,-0.032585666,0.021429459,0.05233443,-0.039868012
-0.0015973113,0.0027189383,-0.03217666,0.02098098,0.058867652,-0.043691814
-0.0018780598,0.0028610323,-0.031765774,0.02055176,0.065661676,-0.04781009
-0.0021945296,0.003019835,-0.031063614,0.019973367,0.07349613,-0.052630533
-0.0025259624,0.003183978,-0.030309653,0.019371105,0.08169165,-0.057602946
-0.0028611047,0.0033379411,-0.029446665,0.01870272,0.089831,-0.06244889
-0.0031892678,0.0034913726,-0.028583614,0.0180496,0.09782895,-0.06719643
-0.0034994427,0.0036287731,-0.027742054,0.0174025,0.10531904,-0.07157532
-0.0038008946,0.0037499268,-0.0268004,0.016668292,0.11258185,-0.075753674
-0.004078386,0.0038663205,-0.025752215,0.015885867,0.11941991,-0.07964313
-0.004338858,0.0039869784,-0.024526166,0.015020893,0.1260916,-0.0833922
-0.004573422,0.0040999805,-0.023502469,0.014282932,0.13221423,-0.08672817
-0.0047808266,0.0041932277,-0.022375867,0.013483313,0.13760915,-0.089639045
-0.004987432,0.0042838864,-0.021171933,0.012635737,0.14305176,-0.09266047
-0.0052145813,0.00437997,-0.019840335,0.011716465,0.1490324,-0.09605856
-0.0054217256,0.0044520255,-0.01846668,0.010753556,0.15434244,-0.09898811
-0.00561139,0.004509112,-0.017025985,0.009742582,0.15903379,-0.10157484
-0.005781118,0.0045450306,-0.01552781,0.008677182,0.16293555,-0.103731714
-0.0059426795,0.004581759,-0.013895531,0.0075362762,0.16653152,-0.10577014
-0.0060809455,0.004604586,-0.012101473,0.006282557,0.1693859,-0.10736084
-0.006214614,0.004637668,-0.010492476,0.005160946,0.17221709,-0.10894396
-0.0063203103,0.0046694702,-0.008986586,0.0041555017,0.17434575,-0.11012883
-0.006424014,0.004701954,-0.0073738815,0.0030950676,0.17637917,-0.111311495
-0.0065105343,0.0047169942,-0.005758806,0.0020106237,0.17789888,-0.11218957
-0.006572263,0.004711672,-0.0040888004,0.0009040069,0.17877688,-0.11267832
-0.0066265576,0.0046964167,-0.002416866,-0.0002081221,0.17955522,-0.113083445
-0.0066563804,0.0046640574,-0.0005969448,-0.0014037541,0.17976151,-0.1131403
-0.0066715186,0.004624645,0.0012078275,-0.0025850323,0.17972009,-0.11306153
-0.0066616856,0.0045656306,0.0031639668,-0.0038620953,0.17898703,-0.112539165
-0.0066365446,0.0044927904,0.0049965526,-0.005084116,0.17785071,-0.11175038
-0.0065894746,0.0044026864,0.0068681785,-0.00632231,0.1761099,-0.110531405
-0.006512517,0.0043002563,0.0086228885,-0.0074546384,0.1736285,-0.108825125
-0.0064405166,0.004193383,0.0102364635,-0.008508567,0.17124948,-0.10711313
-0.006353629,0.0040786443,0.011905565,-0.009583887,0.1683837,-0.105084814
-0.006245981,0.003954538,0.013493256,-0.010607162,0.16496707,-0.102705516
-0.0061118486,0.003812008,0.015202098,-0.0117106335,0.16082641,-0.09984202
-0.005964701,0.003661754,0.016788611,-0.01274653,0.15640637,-0.0967972
-0.0058034663,0.0035031927,0.01830079,-0.013740765,0.1516801,-0.093553685
-0.0056347055,0.0033425316,0.019692868,-0.014665282,0.14681964,-0.090242505
-0.0054040803,0.0031417522,0.021130113,-0.015613358,0.14024134,-0.08585114
-0.0051836297,0.0029539445,0.022495622,-0.016515227,0.13396578,-0.081725
-0.0049701487,0.0027795348,0.023726862,-0.017323805,0.12787576,-0.07781099
-0.004739508,0.0025990647,0.024947764,-0.0181084,0.12129821,-0.073650986
-0.0044901157,0.0024105674,0.026125375,-0.018852333,0.11419908,-0.0692199
-0.0042268443,0.0022169799,0.02724435,-0.019548023,0.10675054,-0.06460757
-0.0039523733,0.0020172575,0.028250998,-0.020174762,0.099061735,-0.059845533
-0.003679202,0.0018123408,0.029178943,-0.02078146,0.09140604,-0.055065792
-0.0033712985,0.0015916157,0.0300589,-0.021333389,0.08294125,-0.049735073
-0.0030604566,0.0013626287,0.03086506,-0.02185126,0.07441717,-0.044284813
-0.002733447,0.0011251547,0.031576462,-0.022302056,0.06550905,-0.03856863
-0.0024184473,0.00089093973,0.03217058,-0.02268838,0.05692594,-0.033033594
-0.0021068999,0.00065617065,0.03268139,-0.023030695,0.048403613,-0.02754594
-0.0018043757,0.00042486718,0.03306763,-0.023299007,0.040105604,-0.022219548
-0.001504237,0.00020103424,0.033323362,-0.023471594,0.031907707,-0.01700889
-0.0011947462,-2.8721479e-05,0.033548567,-0.023621779,0.023424089,-0.011629955
-0.00087940576,-0.0002656418,0.033728667,-0.023754053,0.0147479465,-0.0061090323
-0.0005503203,-0.0005054398,0.033846505,-0.0238314,0.0057608904,-0.00039201998
-0.00021886123,-0.0007407053,0.03387531,-0.023839083,-0.0032185335,0.0053126263
9.957958e-05,-0.00096488395,0.03379586,-0.023774821,-0.011832045,0.010756403
0.0004253112,-0.0011880136,0.03363981,-0.023643674,-0.020637698,0.01627271
0.0007356016,-0.0014018255,0.033387985,-0.023453925,-0.02904803,0.021515893
0.0010568461,-0.001626714,0.033053976,-0.023227628,-0.03784347,0.026997954
0.0013871597,-0.0018631332,0.032590996,-0.02294053,-0.046940643,0.032698683
0.0017313607,-0.0021098384,0.0319936,-0.022579942,-0.05644595,0.03866284
0.0020313705,-0.0023743063,0.031342667,-0.022191716,-0.06524412,0.04433414
0.0023138162,-0.0026296678,0.030643247,-0.02176634,-0.073573545,0.049738023
0.0025813752,-0.0028718119,0.029875828,-0.021270795,-0.08143683,0.054819696
0.0028449912,-0.0030610142,0.029064445,-0.020816758,-0.088656165,0.05931387
0.0031016648,-0.0032965627,0.027986277,-0.020088505,-0.09609449,0.064143
0.0033515883,-0.0035365536,0.026902672,-0.019364648,-0.103374675,0.068896204
0.0035956346,-0.0037739319,0.02591169,-0.01872735,-0.11045414,0.07357214
0.0038385184,-0.003991142,0.024790103,-0.018032674,-0.11728759,0.078043245
0.004078825,-0.004184246,0.023595443,-0.017283104,-0.123842336,0.082264505
0.0043135164,-0.00435141,0.022333588,-0.016521052,-0.13010943,0.08622206
0.0045205182,-0.0045560524,0.020996325,-0.015621669,-0.13621858,0.090314075
