x1_original,x1_envelope,x1_triangle,x1_square,x2_original,x2_envelope,x2_triangle,x2_square,v1_original,v1_envelope,v1_triangle,v1_square,v2_original,v2_envelope,v2_triangle,v2_square,a1_original,a1_envelope,a1_triangle,a1_square,a2_original,a2_envelope,a2_triangle,a2_square
0.0037353544,0.010867875,0.005641708,0.0054204343,-0.0011973976,0.005665585,-0.001992502,-0.002874231,-0.019353986,-0.012061354,-0.030163132,-0.014686569,0.013043072,0.019697139,0.018630952,0.008962048,-0.09117525,-0.086842045,-0.1276638,-0.13995704,0.049409322,0.059003048,0.07535296,0.08546959
0.0052595143,0.012202129,0.007726607,0.0015410184,-0.0026223226,0.0043180273,-0.0039720275,-0.0004954431,-0.015117908,-0.007528523,-0.022732686,-0.00694408,0.008979779,0.015825612,0.01386841,0.00334938,-0.13391428,-0.12543657,-0.19471955,-0.035912633,0.07932279,0.08672122,0.11695386,0.019783545
0.0054545975,0.01242451,0.007943242,0.0015508953,-0.002990304,0.004042828,-0.0045382804,-0.00061207515,-0.0107077025,-0.002965236,-0.015691826,-0.0028872667,0.0065080286,0.013342928,0.009579906,0.0011940908,-0.13996036,-0.13017291,-0.20658194,-0.037440285,0.08507984,0.09131699,0.12365619,0.021566432
0.0055710613,0.012540387,0.008124023,0.00032909258,-0.0032442154,0.0037894435,-0.0048818975,0.00020570113,-0.008496794,-0.0010119807,-0.0122885145,-0.0019896133,0.004875294,0.011690943,0.006960101,0.0007139231,-0.14435627,-0.13490385,-0.21586806,-0.0041691773,0.08801836,0.09426473,0.12928127,0.0017231286
0.005450246,0.012468791,0.00798388,-0.00070969993,-0.0033952286,0.0037444707,-0.005107718,0.00084963365,-0.010860478,-0.0032325834,-0.015357107,0.0008352028,0.00601358,0.0129181435,0.008735188,-0.0013161448,-0.14223939,-0.13381934,-0.21325906,0.0246346,0.08836757,0.094624914,0.13014321,-0.01615399
0.005495362,0.012549387,0.008069438,-0.0013402465,-0.0035350174,0.0037115882,-0.0052914643,0.0012649794,-0.012281656,-0.0048554763,-0.017483301,0.0015353996,0.00675225,0.0137066655,0.009696589,-0.0019793645,-0.14377593,-0.13527054,-0.21322404,0.042676598,0.08986112,0.096353844,0.13343494,-0.026685202
0.0054504047,0.012523729,0.007996245,-0.0020815064,-0.0035996658,0.0037355153,-0.0053275395,0.0017544356,-0.013750268,-0.006474789,-0.019590486,0.001995035,0.00746718,0.014438443,0.010601526,-0.0024700745,-0.14313011,-0.13447535,-0.21124744,0.062428858,0.09006796,0.09593302,0.13385317,-0.03884942
0.0050145024,0.01217396,0.007354881,-0.0025745058,-0.0034101207,0.003963344,-0.005059851,0.0020587887,-0.01671747,-0.009511536,-0.024190303,0.0036753083,0.009187457,0.01622727,0.013082465,-0.0036202092,-0.1328515,-0.12473933,-0.19641979,0.07437452,0.08436859,0.08997942,0.12477346,-0.04654257
0.004218201,0.011463122,0.006217049,-0.0029288689,-0.002974359,0.0043910695,-0.0044443742,0.0022524414,-0.019628067,-0.012402786,-0.02883273,0.0062824734,0.010894646,0.018080404,0.015747689,-0.0052311355,-0.11373238,-0.10594529,-0.16892119,0.08238796,0.0728493,0.078844674,0.10715903,-0.051640168
0.0040150667,0.0112564415,0.005946237,-0.003292425,-0.0028583668,0.004455615,-0.0042375713,0.0025280367,-0.02064745,-0.013540497,-0.03048176,0.007377376,0.011413624,0.018654183,0.016720511,-0.0060258596,-0.109759115,-0.1010987,-0.16202004,0.09152672,0.07003091,0.076145254,0.10282843,-0.0578285
0.0039118463,0.011149881,0.0058348845,-0.0035788373,-0.002816971,0.004491851,-0.0041297404,0.0027560198,-0.021420538,-0.014471959,-0.03166073,0.007636546,0.011783404,0.01896678,0.017314952,-0.006285773,-0.10760586,-0.09889159,-0.15897112,0.09870523,0.06842429,0.07468625,0.101198025,-0.062890336
0.0033541082,0.010645079,0.0050583323,-0.0036268746,-0.0025399458,0.004800464,-0.0037168534,0.0027545686,-0.023214951,-0.016275859,-0.03436229,0.009398527,0.012834987,0.020028358,0.018902576,-0.0073293196,-0.09373555,-0.08552597,-0.13989142,0.099303074,0.06014875,0.06650623,0.089211866,-0.063354865
0.0026954412,0.010032401,0.0041297674,-0.0036717872,-0.0021778631,0.005163569,-0.0032040472,0.0027412984,-0.024915133,-0.017873032,-0.036846504,0.011342383,0.013769821,0.021075172,0.020440744,-0.0084964,-0.077246435,-0.06922024,-0.116395794,0.10011683,0.05013278,0.05671974,0.07431937,-0.06372371
0.0021680652,0.009520431,0.0033725651,-0.003650756,-0.0018694575,0.0054520518,-0.0027628732,0.002711503,-0.025524747,-0.018466903,-0.03777734,0.012731355,0.014144334,0.021464167,0.021023257,-0.00935406,-0.0640192,-0.055459987,-0.096356034,0.09936728,0.0417444,0.048478257,0.06183819,-0.06327587
0.0019617912,0.009320966,0.0030578608,-0.0037828526,-0.0017738545,0.005558856,-0.002627586,0.002792712,-0.026841398,-0.019763717,-0.039730858,0.013637314,0.014896928,0.0222254,0.022221552,-0.009964064,-0.05927454,-0.05031347,-0.08872129,0.10274327,0.038766466,0.04553715,0.057075027,-0.065569796
0.0017989093,0.009185547,0.002804516,-0.0038441955,-0.001703254,0.005668283,-0.0025333872,0.0028188976,-0.027947545,-0.020793242,-0.041335765,0.014339401,0.015538453,0.022895144,0.02319044,-0.010415932,-0.055302706,-0.046244476,-0.08255507,0.1042944,0.036450807,0.04313963,0.053425435,-0.06652666
0.0017236554,0.009122506,0.0026827194,-0.0039086705,-0.001672324,0.00573841,-0.0024883323,0.0028544893,-0.028136777,-0.020903734,-0.041588392,0.014520628,0.015626904,0.022997394,0.023287127,-0.010542007,-0.0532316,-0.044304088,-0.07940065,0.1060515,0.035348985,0.041842286,0.051914643,-0.06752045
0.0014803221,0.008907326,0.002308656,-0.003897145,-0.0015455689,0.0058964486,-0.0023252226,0.0028325417,-0.028927825,-0.021594748,-0.04281952,0.015276308,0.016127244,0.023516027,0.024023507,-0.011014006,-0.046768036,-0.038350657,-0.07041544,0.10539212,0.03171818,0.038193744,0.04663857,-0.06712476
0.001330899,0.008766346,0.002066169,-0.003934481,-0.0014673292,0.0059962906,-0.002221532,0.0028446026,-0.02927062,-0.021770105,-0.043271948,0.015690377,0.016289415,0.023718867,0.024326874,-0.011283652,-0.042708963,-0.034659326,-0.06474918,0.1061329,0.029433051,0.03597815,0.04325198,-0.06754116
0.0010503561,0.008505039,0.001640365,-0.003938908,-0.0013153342,0.006155906,-0.0020021833,0.002834345,-0.029889667,-0.02221911,-0.044100713,0.016433049,0.016663201,0.0240909,0.02486725,-0.011755684,-0.0356405,-0.02744897,-0.054007635,0.10595296,0.024967803,0.031688094,0.03666305,-0.06741148
0.00064514705,0.008117134,0.0010352643,-0.0038838726,-0.0010968047,0.0063780104,-0.0016677352,0.0027800782,-0.030220615,-0.02247696,-0.044577517,0.017515935,0.016913664,0.024342638,0.025227033,-0.01241,-0.02556844,-0.016784841,-0.038419094,0.10439458,0.018567054,0.025522508,0.027146615,-0.066204295
0.00030447886,0.0077721393,0.0005240165,-0.0038418449,-0.00090216484,0.006562291,-0.0013821181,0.0027525204,-0.030527594,-0.022812989,-0.045128684,0.018318428,0.017149458,0.024555821,0.025569754,-0.012914724,-0.016940417,-0.007744165,-0.025234018,0.10329363,0.013129475,0.020273717,0.019057347,-0.06540784
-3.6056634e-05,0.0074312882,9.2701275e-06,-0.0037650727,-0.00070806197,0.006756519,-0.0011046199,0.002699277,-0.030785382,-0.023111902,-0.045614887,0.01901296,0.017368626,0.024755025,0.025874784,-0.01333357,-0.008236428,0.0010768548,-0.012194162,0.101393804,0.007759122,0.015027172,0.011073859,-0.06409101
-0.00036313245,0.0071051265,-0.0004963957,-0.003702981,-0.00052231486,0.006944639,-0.0008359158,0.0026511743,-0.030905373,-0.02325247,-0.045862995,0.01969883,0.017514132,0.024875415,0.026061416,-0.013756444,0.00023041572,0.009497801,0.0006507877,0.09988705,0.0025801277,0.00992045,0.0032935555,-0.06306594
-0.00075484486,0.0067195683,-0.0010986882,-0.003610811,-0.00030532785,0.007165564,-0.00050987495,0.0025771337,-0.030760512,-0.023178076,-0.045766413,0.020601952,0.017524112,0.02488706,0.02609869,-0.0143117355,0.010422742,0.019545533,0.016244868,0.09764028,-0.0035815246,0.0039021415,-0.00591504,-0.061503105
-0.0011148428,0.006359484,-0.0016607787,-0.0035110773,-0.000107450054,0.0073721693,-0.00020763514,0.0025013268,-0.030432083,-0.022924935,-0.045386992,0.021389708,0.017419068,0.024789775,0.025982868,-0.014813761,0.019849038,0.028747454,0.030655958,0.09513164,-0.009230509,-0.0016406681,-0.014412978,-0.05988003
-0.0012661106,0.0061992733,-0.001923103,-0.0034729238,-3.4309633e-05,0.0074670576,-8.827017e-05,0.0024758955,-0.030199273,-0.022720182,-0.045041867,0.021673929,0.017312871,0.024691716,0.025874093,-0.015033548,0.023812495,0.03248378,0.036915492,0.09418503,-0.011546129,-0.0040238686,-0.018067699,-0.05940721
-0.0012742919,0.006182988,-0.0019582517,-0.0034853336,-4.9429116e-05,0.0074857934,-8.635377e-05,0.0024890457,-0.02936069,-0.021902878,-0.04370675,0.021499105,0.016791718,0.024188384,0.025146183,-0.01496508,0.023961592,0.032518007,0.037880614,0.094826035,-0.011617674,-0.00427531,-0.018039694,-0.059749812
-0.0015343359,0.005941574,-0.0023447277,-0.003408547,7.92777e-05,0.00763874,0.00010323792,0.0024335089,-0.02927608,-0.021806775,-0.043530073,0.022145407,0.016756376,0.024186226,0.025137814,-0.015384317,0.030473938,0.038818937,0.047928967,0.0928037,-0.015530131,-0.008277995,-0.023544613,-0.058388714
-0.0016432983,0.0058271126,-0.0025062237,-0.003391214,0.00013315093,0.0077035422,0.00018491811,0.0024255787,-0.028623125,-0.021133123,-0.042491894,0.022219123,0.016307415,0.023770425,0.024557661,-0.015470314,0.0333507,0.04127271,0.052459452,0.092329524,-0.017287092,-0.009984056,-0.025834307,-0.05802975
-0.0019950916,0.0054956106,-0.00302256,-0.003213526,0.00031642072,0.007902374,0.00046210067,0.0022921981,-0.027784267,-0.020281991,-0.041265808,0.022925604,0.015851155,0.023339786,0.023917763,-0.015900213,0.042402927,0.049964618,0.06603735,0.087492295,-0.022824828,-0.015372756,-0.033749737,-0.054880045
-0.0022531897,0.0052538407,-0.003417687,-0.00313784,0.0004513477,0.008043108,0.00065583567,0.0022307069,-0.027312653,-0.019757563,-0.04059441,0.02350318,0.015564994,0.023088789,0.023520268,-0.016270978,0.048883446,0.05621594,0.07559398,0.08526049,-0.026770383,-0.01917966,-0.039608214,-0.05343756
-0.0025830076,0.0049454747,-0.003909812,-0.003047179,0.0006267346,0.008215511,0.00092211104,0.0021603378,-0.026908416,-0.01938822,-0.04009678,0.024299359,0.015351114,0.022903971,0.023216298,-0.016770585,0.057149667,0.06458989,0.0878492,0.08268572,-0.031869985,-0.024101425,-0.047049396,-0.0517416
-0.0028839163,0.004650899,-0.004355864,-0.0029334726,0.000798041,0.008373351,0.0011844037,0.0020816438,-0.026365386,-0.018892286,-0.039372727,0.024876429,0.015061681,0.022601439,0.022739716,-0.017132478,0.0648687,0.07239973,0.09921114,0.07957614,-0.03658092,-0.028743979,-0.054002695,-0.04977533
-0.0030061689,0.0045230137,-0.004545842,-0.0028718351,0.00086662476,0.008436383,0.0012948061,0.0020412707,-0.025722861,-0.01826888,-0.038435847,0.024933668,0.014679089,0.022182709,0.022112368,-0.017173054,0.06808819,0.07552805,0.10382454,0.077815466,-0.038470693,-0.03069593,-0.056988537,-0.048761267
-0.0032718673,0.004272856,-0.0049274154,-0.0027501388,0.0010107447,0.008582046,0.0015104332,0.001945158,-0.025059935,-0.017620487,-0.037511956,0.025490552,0.0143117495,0.021813082,0.021545848,-0.017468812,0.07487864,0.08223798,0.113797985,0.07444802,-0.04250827,-0.03473126,-0.06314328,-0.046537466
-0.0035325387,0.004016933,-0.0053029917,-0.002633995,0.0011627636,0.008730183,0.0017328218,0.0018554103,-0.024301447,-0.016846316,-0.036436714,0.026027516,0.013862224,0.021380493,0.020892497,-0.017761366,0.081592806,0.08900095,0.1237525,0.07116388,-0.046481162,-0.038793903,-0.06938355,-0.044384964
-0.0038041424,0.003746646,-0.0056958934,-0.002510139,0.0013211765,0.0088861305,0.001969549,0.001759585,-0.0234062,-0.015922403,-0.035143793,0.026552595,0.013323522,0.020864353,0.020133058,-0.018065995,0.08869169,0.09608359,0.13420898,0.06759505,-0.050709058,-0.04309925,-0.07593773,-0.042126637
-0.00404349,0.0035108607,-0.0060482076,-0.0023954478,0.0014572701,0.009026627,0.0021735083,0.0016695007,-0.022579774,-0.015039001,-0.033889346,0.026995113,0.012814384,0.020385465,0.019413842,-0.01833305,0.09493331,0.10226125,0.14340112,0.06432562,-0.054405686,-0.046864986,-0.08167746,-0.04008367
