Variable,Max_Abs_Deviation,Min_Deviation
x1,9.990923019453923e-17,-9.985502008591496e-17
v1,9.974659986866641e-17,-9.974659986866641e-17
a1,9.71445146547012e-17,-9.71445146547012e-17
x2,9.963817965141786e-17,-9.963817965141786e-17
v2,9.974659986866641e-17,-9.974659986866641e-17
a2,1.1102230246251565e-16,-1.1102230246251565e-16
x3,9.963817965141786e-17,-9.963817965141786e-17
v3,9.974659986866641e-17,-9.974659986866641e-17
a3,1.1102230246251565e-16,-1.1102230246251565e-16
x4,9.974659986866641e-17,-9.974659986866641e-17
v4,9.8879238130678e-17,-9.8879238130678e-17
a4,2.220446049250313e-16,-2.220446049250313e-16
