dataset,window_index,overall_mse,per_channel_mse,worst_channel_idx,avg_corr_worst_channel,num_high_error_channels,predicted_fault,mu_latent
Normal,0,0.22346431016921997,"[0.10008604824542999, 0.057178858667612076, 0.12322377413511276, 0.24757462739944458, 0.16962434351444244, 0.07376322150230408, 0.4080435633659363, 0.10179699957370758, 0.1482188105583191, 0.1610175520181656, 0.6411868929862976, 0.44985687732696533]",10,0.3411305608653969,4,Structural Fault,"[0.039864614605903625, -0.07458977401256561, 0.02466443181037903, -0.050037931650877, -0.015373479574918747, 0.06908189505338669, -0.023942027240991592, -0.08423279225826263, -0.029671374708414078, -1.2170658111572266, -0.15527977049350739, -1.4073340892791748, 0.13469970226287842, -2.504922389984131, 0.2345179170370102, 0.1136850044131279]"
Normal,1,0.5332150459289551,"[0.376181036233902, 0.12593308091163635, 0.16874681413173676, 0.1743680238723755, 0.5862288475036621, 0.3717731237411499, 0.7545700669288635, 0.2005934864282608, 0.7497581243515015, 0.7302637696266174, 1.4046299457550049, 0.7555336952209473]",10,0.3406999117236802,9,Structural Fault,"[0.03998316079378128, -0.09778396785259247, 0.02281513810157776, 0.03268236294388771, 0.019029099494218826, 0.09804721176624298, -0.010466907173395157, -0.08860507607460022, -0.03155157342553139, -1.0429929494857788, -0.14752374589443207, -1.4190270900726318, 0.12430119514465332, -2.5819382667541504, 0.22821910679340363, 0.11825451999902725]"
Normal,2,0.22655369341373444,"[0.13535524904727936, 0.04374779388308525, 0.07085492461919785, 0.12021919339895248, 0.22961950302124023, 0.11178108304738998, 0.288507342338562, 0.08726569265127182, 0.25985482335090637, 0.25131872296333313, 0.6821994185447693, 0.43792054057121277]",10,0.34728632794809416,6,Structural Fault,"[0.031042814254760742, -0.10771310329437256, 0.024478569626808167, 0.09034629911184311, 0.039695750921964645, 0.12111547589302063, -0.006351638585329056, -0.10109442472457886, -0.030005302280187607, -0.8875806927680969, -0.13300786912441254, -1.4096577167510986, 0.10835795104503632, -2.6177000999450684, 0.21476130187511444, 0.12130405008792877]"
Normal,3,0.2238188236951828,"[0.17872223258018494, 0.03661300614476204, 0.056943606585264206, 0.10071931034326553, 0.34201541543006897, 0.11952764540910721, 0.278494656085968, 0.10402097553014755, 0.3453198969364166, 0.24722574651241302, 0.5421128869056702, 0.3341105282306671]",10,0.3564229008594246,6,Structural Fault,"[0.01857277750968933, -0.10300830006599426, 0.028816580772399902, 0.12880995869636536, 0.04408285394310951, 0.13332265615463257, -0.009193267673254013, -0.11241555213928223, -0.023983661085367203, -0.7469173073768616, -0.11817467212677002, -1.3821660280227661, 0.09149342775344849, -2.6315574645996094, 0.19725076854228973, 0.12055496871471405]"
Normal,4,0.14336834847927094,"[0.051796916872262955, 0.018180804327130318, 0.05315333232283592, 0.08559757471084595, 0.10555567592382431, 0.0772729367017746, 0.3082708418369293, 0.10191859304904938, 0.11435472220182419, 0.11460883170366287, 0.41062918305397034, 0.27908089756965637]",10,0.3679372899283169,3,Ambiguous_Moderate_Error,"[0.009174779057502747, -0.08667254447937012, 0.03579895198345184, 0.15741859376430511, 0.033449362963438034, 0.13376548886299133, -0.015859168022871017, -0.11571267247200012, -0.0138477124273777, -0.6121538877487183, -0.10600429773330688, -1.3383694887161255, 0.07661564648151398, -2.6317358016967773, 0.17811550199985504, 0.11544258147478104]"
Normal,5,0.4820597767829895,"[0.2899426221847534, 0.18561102449893951, 0.24760068953037262, 0.2462681382894516, 0.5877034664154053, 0.34388187527656555, 0.849409818649292, 0.32415449619293213, 0.5467952489852905, 0.7107134461402893, 0.9535576105117798, 0.4990788996219635]",10,0.3814600313809873,11,Structural Fault,"[0.0027708858251571655, -0.06472820043563843, 0.04349169135093689, 0.17950180172920227, 0.016274098306894302, 0.12478862702846527, -0.02295515313744545, -0.11166080832481384, -0.0001980401575565338, -0.47812920808792114, -0.09757116436958313, -1.2813026905059814, 0.06456463038921356, -2.625366687774658, 0.15958033502101898, 0.10686815530061722]"
Normal,6,0.10339304059743881,"[0.029886092990636826, 0.025006849318742752, 0.037017419934272766, 0.06261193752288818, 0.07049289345741272, 0.059799570590257645, 0.28715601563453674, 0.13916493952274323, 0.04637445509433746, 0.051654353737831116, 0.2362358421087265, 0.1953161358833313]",6,0.10837946219469229,2,Ambiguous_Moderate_Error,"[-0.005144104361534119, -0.04351493716239929, 0.048636600375175476, 0.19276125729084015, 0.003172222524881363, 0.11115266382694244, -0.027164723724126816, -0.10538345575332642, 0.016131553798913956, -0.3451576828956604, -0.09339994192123413, -1.216910481452942, 0.05561593174934387, -2.620643138885498, 0.14335455000400543, 0.09641090035438538]"
Normal,7,0.08831333369016647,"[0.02922472171485424, 0.016449658200144768, 0.026095187291502953, 0.055593185126781464, 0.04766428470611572, 0.0343828983604908, 0.2794458270072937, 0.12625154852867126, 0.044976528733968735, 0.03986649215221405, 0.1957949697971344, 0.16401474177837372]",6,0.11642605923741982,1,Ambiguous_Moderate_Error,"[-0.015790149569511414, -0.026074782013893127, 0.050216615200042725, 0.1946212500333786, -0.00231996551156044, 0.09879127889871597, -0.026858028024435043, -0.0995803028345108, 0.03299976512789726, -0.21491639316082, -0.09309519827365875, -1.1511014699935913, 0.049781471490859985, -2.6198644638061523, 0.12984980642795563, 0.08560176938772202]"
Normal,8,0.1290249079465866,"[0.07773683220148087, 0.024744458496570587, 0.03729643300175667, 0.05758524313569069, 0.16862653195858002, 0.10210523009300232, 0.31803372502326965, 0.12691646814346313, 0.15946298837661743, 0.14346341788768768, 0.2006719410419464, 0.1316557377576828]",6,0.12344433478988544,2,Ambiguous_Moderate_Error,"[-0.02665465697646141, -0.012489661574363708, 0.04955381900072098, 0.1842610090970993, -0.002855200320482254, 0.09350400418043137, -0.02203252539038658, -0.09403654932975769, 0.047309648245573044, -0.08923906832933426, -0.0955328494310379, -1.0876446962356567, 0.04670266807079315, -2.6201086044311523, 0.11849303543567657, 0.07565184682607651]"
Normal,9,0.07913292199373245,"[0.03195587545633316, 0.012398247607052326, 0.020412752404808998, 0.04699856787919998, 0.08636827766895294, 0.05525542423129082, 0.26187217235565186, 0.12306976318359375, 0.06586666405200958, 0.06611409783363342, 0.09558466821908951, 0.0836985856294632]",6,0.12848596983236243,1,Ambiguous_Moderate_Error,"[-0.03487231954932213, -0.001740097999572754, 0.04777943342924118, 0.16310079395771027, -0.0018530823290348053, 0.0976371094584465, -0.013923939317464828, -0.0878663957118988, 0.05721043422818184, 0.03045644611120224, -0.09978848695755005, -1.027326226234436, 0.04600431025028229, -2.6192827224731445, 0.10867862403392792, 0.06678464263677597]"
